time,rx_latitude,rx_longitude,gateway_id,device_id,spreading_factor
2024-05-02T15:19:21.953871,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:19:33.902577,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:19:44.640052,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:19:56.328974,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:20:07.693691,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:20:19.060304,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:20:30.428706,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:20:41.507286,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:21:10.362868,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:21:34.325537,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:21:57.671737,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:22:11.187743,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:22:31.617694,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:22:44.939281,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:22:56.259801,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:23:16.454913,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:23:30.138205,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:23:49.491006,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:24:03.568143,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:24:14.988227,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:24:35.271196,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:24:49.622050,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:25:08.440911,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:25:22.570523,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:25:33.811409,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:25:45.186602,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:25:56.547337,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:26:16.944271,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:26:39.193168,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:26:52.729523,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:27:03.948920,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:27:15.325350,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:27:26.693723,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:27:38.350926,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:27:49.412078,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:28:00.613831,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
