location_name,latitude,longitude
JPA and Fontaine,38.02607, 78.51527
Runk Lot,38.02868, 78.51952
OHill Waste Management,38.03204, 78.51853
Lewis Mtn Rd and Cameron Rd,38.03840, 78.51176
Ruffin Hall,38.03852, 78.50320
Elliewood Garage (lower),38.03614, 78.50062
Elliewood Garage (upper),38.03614, 78.50062
West Complex,38.03376, 78.50240
Chase Bank,38.03435, 78.50028
Hospital,38.03211, 78.49630
Shamrock Rd and Mulberry Ave,38.02437, 78.50691
Wertland and 10th,38.03370, 78.49406
Dairy Market,38.03790, 78.49022
